orders_per_shift,shift_minutes,capex,labor_cost_per_hour,workdays_per_year,shifts_per_day,forklift_reel_changes_per_hour,forklift_oee,forklift_utilization_pct_avg,forklift_starvations,forklift_distance_km,forklift_completed_orders,forklift_total_vehicle_minutes,ingetrans_reel_changes_per_hour,ingetrans_oee,ingetrans_utilization_pct_avg,ingetrans_starvations,ingetrans_distance_km,ingetrans_completed_orders,ingetrans_total_vehicle_minutes,delta_reel_changes_per_hour,delta_completed_orders,saved_hours_per_shift,saved_hours_per_year,saved_cost_per_year,estimated_payback_years
120,480,450000.0,20.0,220,1.0,9.0,0.65,98.0,5,20.0,96,1411.1999999999998,18.0,0.92,68.0,0,6.5,120,326.40000000000003,-9.0,-24,18.079999999999995,3977.599999999999,79551.99999999999,5.656677393403058
120,480,450000.0,20.0,220,2.0,9.0,0.65,98.0,5,20.0,96,1411.1999999999998,18.0,0.92,68.0,0,6.5,120,326.40000000000003,-9.0,-24,18.079999999999995,7955.199999999998,159103.99999999997,2.828338696701529
120,480,450000.0,20.0,250,1.0,9.0,0.65,98.0,5,20.0,96,1411.1999999999998,18.0,0.92,68.0,0,6.5,120,326.40000000000003,-9.0,-24,18.079999999999995,4519.999999999999,90399.99999999999,4.9778761061946915
120,480,450000.0,20.0,250,2.0,9.0,0.65,98.0,5,20.0,96,1411.1999999999998,18.0,0.92,68.0,0,6.5,120,326.40000000000003,-9.0,-24,18.079999999999995,9039.999999999998,180799.99999999997,2.4889380530973457
120,480,450000.0,25.0,220,1.0,9.0,0.65,98.0,5,20.0,96,1411.1999999999998,18.0,0.92,68.0,0,6.5,120,326.40000000000003,-9.0,-24,18.079999999999995,3977.599999999999,99439.99999999997,4.525341914722447
120,480,450000.0,25.0,220,2.0,9.0,0.65,98.0,5,20.0,96,1411.1999999999998,18.0,0.92,68.0,0,6.5,120,326.40000000000003,-9.0,-24,18.079999999999995,7955.199999999998,198879.99999999994,2.2626709573612236
120,480,450000.0,25.0,250,1.0,9.0,0.65,98.0,5,20.0,96,1411.1999999999998,18.0,0.92,68.0,0,6.5,120,326.40000000000003,-9.0,-24,18.079999999999995,4519.999999999999,112999.99999999997,3.982300884955753
120,480,450000.0,25.0,250,2.0,9.0,0.65,98.0,5,20.0,96,1411.1999999999998,18.0,0.92,68.0,0,6.5,120,326.40000000000003,-9.0,-24,18.079999999999995,9039.999999999998,225999.99999999994,1.9911504424778765
120,480,450000.0,30.0,220,1.0,9.0,0.65,98.0,5,20.0,96,1411.1999999999998,18.0,0.92,68.0,0,6.5,120,326.40000000000003,-9.0,-24,18.079999999999995,3977.599999999999,119327.99999999997,3.771118262268706
120,480,450000.0,30.0,220,2.0,9.0,0.65,98.0,5,20.0,96,1411.1999999999998,18.0,0.92,68.0,0,6.5,120,326.40000000000003,-9.0,-24,18.079999999999995,7955.199999999998,238655.99999999994,1.885559131134353
